,Topic #1,Topic #2,Topic #3,Topic #4,Topic #5,Topic #6,Topic #7,Topic #8,Topic #9
0,like,coffee,tea,food,product,dog,great,chocolate,chips
1,taste,cup,green,cat,amazon,treats,love,cookies,salt
2,good,strong,teas,cats,price,dogs,snack,bars,bag
3,flavor,cups,drink,eat,order,loves,price,bar,potato
4,really,bold,bags,dry,buy,treat,kids,dark,bags
5,water,roast,cup,foods,store,training,easy,free,chip
6,little,keurig,black,chicken,time,small,healthy,milk,snack
7,sugar,flavor,iced,canned,shipping,teeth,tastes,gluten,kettle
8,tastes,blend,stash,wellness,box,chew,tasting,cookie,flavor
9,sweet,bitter,flavor,diet,local,size,perfect,hot,vinegar
