,Topic #1,Topic #2,Topic #3,Topic #4,Topic #5,Topic #6,Topic #7,Topic #8,Topic #9
0,great,loves,echo,tablet,easy,love,kindle,good,old
1,product,bought,alexa,kids,set,kids,books,price,year
2,works,gift,music,apps,product,awesome,read,product,perfect
3,price,daughter,amazon,amazon,setup,bought,reading,quality,loves
4,recommend,christmas,home,games,navigate,got,screen,pretty,yr
5,buy,grandson,plus,play,super,fun,like,nice,games
6,sound,son,like,perfect,fast,alexa,size,works,grandson
7,kids,wife,smart,price,recommend,play,new,sound,purchased
8,gift,absolutely,sound,little,fun,grandkids,light,picture,granddaughter
9,little,got,screen,need,happy,new,best,excellent,apps
